Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
Image1723,0,11.99,314.09,17.72,0.06,1.97,4.31,33.17,0.21,0.04,0.54,2.64,0.96
Image1724,1,5.27,525.08,22.91,0.00,5.06,26.83,57.73,0.05,0.00,0.36,4.34,0.98
Image1725,1,4.52,449.43,21.20,0.00,5.32,29.66,100.53,0.04,0.00,0.28,6.35,0.96
Image1726,0,9.87,647.10,25.44,0.20,2.94,8.94,116.38,0.41,0.17,0.65,3.17,0.97
Image1727,0,15.28,903.88,30.06,0.12,2.34,5.74,131.84,0.30,0.09,0.60,3.50,0.96
Image1728,1,6.20,829.30,28.80,0.01,5.01,25.81,158.99,0.07,0.00,0.39,4.82,0.96
Image1729,0,8.92,699.46,26.45,0.09,3.32,11.25,217.15,0.27,0.07,0.55,5.20,0.94
Image1730,0,15.69,925.30,30.42,0.12,2.31,5.63,134.65,0.30,0.09,0.60,3.51,0.96
Image1731,0,18.08,1011.53,31.80,0.11,2.15,4.94,126.42,0.29,0.09,0.58,3.61,0.96
Image1732,1,6.21,805.15,28.38,0.01,4.97,25.49,146.88,0.07,0.01,0.40,4.54,0.96
Image1733,0,13.06,936.92,30.61,0.09,2.71,7.50,172.10,0.26,0.07,0.57,4.36,0.95
Image1734,0,7.35,585.65,24.20,0.11,3.66,13.70,223.46,0.30,0.09,0.55,5.55,0.94
Image1735,0,5.28,169.39,13.01,0.21,2.95,9.38,27.50,0.41,0.17,0.68,1.99,0.97
Image1736,0,9.84,251.63,15.86,0.06,2.08,4.67,26.89,0.22,0.05,0.61,2.04,0.96
Image1737,0,5.42,156.02,12.49,0.10,2.79,8.12,26.67,0.28,0.08,0.60,2.33,0.96
Image1738,0,7.05,196.23,14.01,0.10,2.44,6.27,24.30,0.28,0.08,0.61,2.13,0.97
Image1739,0,4.83,141.12,11.88,0.10,2.96,9.14,30.48,0.28,0.08,0.60,2.49,0.95
Image1740,0,1.83,48.72,6.98,0.16,4.67,23.96,22.96,0.36,0.13,0.61,2.25,0.95
Image1741,1,19.80,1244.87,35.28,0.02,2.43,6.54,112.88,0.12,0.02,0.42,5.01,0.97
Image1742,1,18.65,1287.25,35.88,0.02,2.67,7.94,95.89,0.11,0.01,0.43,4.73,0.97
Image1743,1,5.43,535.64,23.14,0.01,4.73,23.37,105.99,0.08,0.01,0.35,5.21,0.96
Image1744,0,13.62,841.10,29.00,0.08,2.55,6.82,149.94,0.25,0.06,0.53,4.38,0.95
Image1745,0,8.63,587.74,24.24,0.08,3.22,10.66,201.73,0.25,0.06,0.51,5.28,0.93
Image1746,1,7.33,776.21,27.86,0.01,4.38,20.15,102.67,0.07,0.00,0.35,5.31,0.97
Image1747,1,8.48,408.59,20.21,0.01,3.12,10.67,54.75,0.09,0.01,0.48,3.46,0.96
Image1748,0,3.93,145.03,12.04,0.13,3.45,12.17,58.46,0.32,0.10,0.66,2.66,0.94
Image1749,1,3.40,222.24,14.91,0.03,4.82,24.05,66.60,0.14,0.02,0.45,3.53,0.96
Image1750,0,3.05,117.70,10.85,0.14,3.93,15.71,67.44,0.34,0.11,0.67,2.87,0.93
Image1751,0,13.26,721.79,26.87,0.14,2.47,6.54,82.20,0.34,0.11,0.58,3.50,0.97
Image1752,0,15.57,781.55,27.96,0.11,2.23,5.41,81.28,0.30,0.09,0.54,3.90,0.97
Image1753,0,14.70,761.75,27.60,0.11,2.32,5.75,78.09,0.29,0.09,0.54,3.65,0.97
Image1754,0,4.29,229.96,15.16,0.14,4.16,18.23,102.62,0.34,0.11,0.55,4.32,0.95
Image1755,0,8.31,778.00,27.89,0.17,3.72,14.19,163.87,0.37,0.14,0.60,3.96,0.97
Image1756,0,14.23,1140.28,33.77,0.13,2.77,7.96,191.82,0.32,0.11,0.58,4.50,0.96
Image1757,1,6.52,967.15,31.10,0.02,5.12,26.86,239.10,0.13,0.02,0.39,5.66,0.96
Image1758,1,13.40,1550.12,39.37,0.00,3.43,12.26,118.37,0.05,0.00,0.36,5.05,0.97
Image1759,1,3.05,411.98,20.30,0.00,7.00,50.11,53.55,0.04,0.00,0.28,4.92,0.96
Image1760,1,7.84,1136.89,33.72,0.01,4.64,22.05,170.10,0.09,0.01,0.35,4.99,0.97
Image1761,1,16.13,1587.12,39.84,0.02,3.01,9.67,176.70,0.11,0.01,0.45,4.82,0.96
Image1762,1,2.76,382.75,19.56,0.02,7.49,58.14,350.20,0.12,0.01,0.38,7.08,0.93
Image1763,0,12.42,553.80,23.53,0.09,2.32,5.71,80.95,0.27,0.07,0.55,3.40,0.96
Image1764,1,4.58,561.78,23.70,0.00,5.66,33.08,99.25,0.05,0.00,0.35,5.48,0.97
Image1765,1,5.06,637.55,25.25,0.00,5.45,30.52,79.92,0.04,0.00,0.32,5.47,0.97
Image1766,1,4.33,502.06,22.41,0.00,5.86,36.21,149.39,0.03,0.00,0.25,7.28,0.96
Image1767,0,5.89,376.76,19.41,0.09,3.66,13.78,149.84,0.27,0.07,0.51,5.01,0.94
Image1768,1,16.23,1223.44,34.98,0.01,3.12,10.87,148.83,0.07,0.00,0.34,6.22,0.96
Image1769,1,16.30,1243.59,35.26,0.00,3.04,10.19,114.17,0.04,0.00,0.31,6.19,0.96
Image1770,1,18.00,1358.57,36.86,0.00,3.08,10.72,117.61,0.04,0.00,0.32,6.38,0.97
Image1771,1,12.85,1001.40,31.64,0.00,3.27,11.80,108.90,0.03,0.00,0.29,6.18,0.95
Image1772,1,11.71,933.08,30.55,0.04,3.46,13.25,219.53,0.17,0.03,0.41,6.16,0.95
Image1773,1,19.43,1378.73,37.13,0.00,2.97,10.06,119.64,0.05,0.00,0.32,6.41,0.97
Image1774,1,15.66,1181.76,34.38,0.00,3.17,11.21,131.42,0.05,0.00,0.33,6.23,0.96
Image1775,1,16.23,1252.97,35.40,0.00,3.15,11.23,105.26,0.03,0.00,0.31,5.96,0.97
Image1776,0,9.07,408.33,20.21,0.13,2.82,8.59,63.01,0.32,0.10,0.57,3.24,0.97
Image1777,1,15.23,911.29,30.19,0.01,2.99,10.61,114.67,0.09,0.01,0.42,4.82,0.95
Image1778,1,4.61,507.14,22.52,0.01,5.44,31.34,118.34,0.10,0.01,0.39,4.82,0.97
Image1779,0,9.86,429.19,20.72,0.12,2.63,7.50,62.20,0.31,0.10,0.55,3.27,0.96
Image1780,0,4.26,227.63,15.09,0.12,3.86,15.14,110.25,0.31,0.10,0.59,3.74,0.93
Image1781,0,9.12,647.59,25.45,0.17,3.29,11.26,85.86,0.37,0.14,0.61,3.29,0.98
Image1782,0,15.91,859.30,29.31,0.09,2.26,5.40,111.22,0.27,0.07,0.54,3.95,0.96
Image1783,0,10.87,626.01,25.02,0.13,2.74,7.82,117.51,0.32,0.10,0.56,4.28,0.96
Image1784,0,5.76,368.64,19.20,0.13,3.82,14.99,152.37,0.33,0.11,0.57,4.98,0.94
Image1785,1,4.10,423.36,20.58,0.02,6.26,45.06,164.22,0.11,0.01,0.36,6.70,0.97
Image1786,0,9.48,553.63,23.53,0.14,2.94,8.98,117.53,0.34,0.11,0.57,4.29,0.96
Image1787,0,4.16,268.13,16.37,0.16,4.42,20.14,147.23,0.37,0.13,0.59,4.82,0.94
Image1788,1,17.04,1022.31,31.97,0.03,2.36,5.85,123.65,0.15,0.02,0.47,4.28,0.95
Image1789,0,14.42,888.02,29.80,0.07,2.51,6.59,175.27,0.24,0.06,0.51,4.88,0.94
Image1790,0,9.43,665.98,25.81,0.09,3.18,10.48,226.63,0.26,0.07,0.49,5.69,0.93
Image1791,0,13.32,854.84,29.24,0.08,2.63,7.24,186.12,0.25,0.06,0.52,5.12,0.94
Image1792,1,8.42,756.95,27.51,0.01,3.62,13.31,67.47,0.08,0.01,0.50,3.08,0.96
Image1793,1,18.09,1390.62,37.29,0.01,2.53,6.58,77.42,0.08,0.01,0.50,3.32,0.97
Image1794,0,8.14,322.99,17.97,0.07,2.67,7.42,30.13,0.23,0.05,0.59,2.24,0.97
Image1795,0,4.01,153.25,12.38,0.08,3.64,13.90,38.52,0.24,0.06,0.59,2.44,0.96
Image1796,0,10.83,429.99,20.74,0.07,2.36,5.86,28.89,0.23,0.05,0.61,2.08,0.98
Image1797,0,6.91,273.52,16.54,0.07,2.87,8.59,31.57,0.23,0.05,0.59,2.37,0.97
Image1798,0,2.84,103.26,10.16,0.09,4.20,18.70,37.55,0.26,0.07,0.61,2.33,0.95
Image1799,1,8.16,1131.06,33.63,0.00,4.54,21.30,90.59,0.05,0.00,0.32,5.48,0.97
Image1800,1,2.14,282.91,16.82,0.00,8.20,68.98,63.02,0.05,0.00,0.26,5.53,0.93
Image1801,1,6.32,870.82,29.51,0.00,5.08,26.79,95.07,0.04,0.00,0.29,6.10,0.95
Image1802,0,4.65,217.46,14.75,0.21,3.58,13.24,34.69,0.41,0.17,0.66,2.28,0.98
Image1803,0,6.11,243.72,15.61,0.10,2.95,9.02,56.97,0.28,0.08,0.57,3.00,0.95
Image1804,0,5.29,247.92,15.75,0.18,3.42,12.19,52.31,0.38,0.14,0.63,2.64,0.97
Image1805,0,9.12,392.48,19.81,0.13,2.76,8.89,77.19,0.32,0.10,0.58,3.23,0.95
Image1806,0,4.90,208.18,14.43,0.11,3.33,11.40,54.27,0.30,0.09,0.59,2.85,0.95
Image1807,0,8.35,783.34,27.99,0.17,3.71,14.11,156.20,0.37,0.14,0.61,3.78,0.97
Image1808,0,14.64,1193.58,34.55,0.13,2.74,7.79,200.24,0.32,0.11,0.58,4.51,0.96
Image1809,1,10.57,1478.25,38.45,0.02,4.02,16.58,180.77,0.11,0.01,0.41,4.95,0.97
Image1810,1,9.27,1269.06,35.62,0.01,4.22,18.34,140.57,0.10,0.01,0.39,4.78,0.97
Image1811,1,2.42,317.85,17.83,0.04,7.67,59.95,435.99,0.17,0.03,0.45,6.90,0.93
Image1812,0,19.80,1512.74,38.89,0.10,2.36,5.82,151.74,0.27,0.08,0.56,4.10,0.97
Image1813,1,15.74,1572.82,39.66,0.00,3.01,9.48,145.65,0.06,0.00,0.39,4.94,0.94
Image1814,1,5.27,708.97,26.63,0.03,5.42,30.33,234.41,0.14,0.02,0.45,5.24,0.96
Image1815,0,5.69,324.51,18.01,0.24,3.61,13.67,67.61,0.44,0.20,0.65,3.09,0.97
Image1816,1,12.47,775.35,27.85,0.01,2.90,9.16,97.82,0.10,0.01,0.42,4.65,0.95
Image1817,0,13.47,584.86,24.18,0.07,2.25,5.34,57.77,0.23,0.06,0.53,3.42,0.97
Image1818,0,9.79,449.95,21.21,0.08,2.62,7.17,72.32,0.24,0.06,0.53,3.68,0.96
Image1819,0,5.94,304.23,17.44,0.10,3.37,11.75,84.75,0.28,0.08,0.54,4.05,0.95
Image1820,0,6.49,376.80,19.41,0.22,3.46,12.60,69.86,0.42,0.18,0.64,3.18,0.97
Image1821,1,9.29,685.97,26.19,0.04,3.48,13.19,143.87,0.18,0.03,0.46,5.23,0.96
Image1822,0,12.35,543.15,23.31,0.08,2.35,5.81,65.02,0.24,0.06,0.54,3.55,0.96
Image1823,0,8.81,415.97,20.40,0.08,2.76,7.89,77.83,0.24,0.06,0.53,3.87,0.95
Image1824,1,5.70,595.56,24.40,0.00,4.86,24.98,101.84,0.04,0.00,0.31,6.02,0.97
Image1825,1,5.76,778.60,27.90,0.00,5.42,31.11,75.81,0.03,0.00,0.27,5.48,0.97
Image1826,0,15.09,706.08,26.57,0.06,2.20,5.08,85.27,0.21,0.04,0.56,3.54,0.96
Image1827,0,11.91,605.09,24.60,0.07,2.47,6.34,73.57,0.23,0.05,0.58,3.25,0.96
Image1828,0,7.82,432.70,20.80,0.08,3.04,9.43,81.44,0.25,0.06,0.57,3.69,0.96
Image1829,1,7.45,847.20,29.11,0.00,4.58,22.73,81.54,0.03,0.00,0.33,5.20,0.97
Image1830,0,14.24,677.91,26.04,0.06,2.25,5.28,68.19,0.22,0.05,0.57,3.17,0.97
Image1831,0,10.78,550.29,23.46,0.06,2.58,6.85,67.72,0.22,0.05,0.57,3.29,0.96
Image1832,0,6.58,376.32,19.40,0.06,3.32,11.24,94.84,0.22,0.05,0.55,4.09,0.95
Image1833,0,12.38,802.08,28.32,0.08,2.65,7.16,165.50,0.25,0.06,0.61,3.59,0.94
Image1834,0,6.60,491.59,22.17,0.12,3.65,13.49,250.62,0.31,0.10,0.62,4.44,0.93
Image1835,0,15.41,924.19,30.40,0.07,2.35,5.68,139.47,0.24,0.06,0.60,3.29,0.95
Image1836,0,11.00,739.71,27.20,0.08,2.82,8.11,174.54,0.26,0.07,0.60,3.79,0.94
Image1837,0,8.21,714.49,26.73,0.21,3.71,14.31,116.10,0.41,0.17,0.60,4.17,0.98
Image1838,0,13.13,1060.03,32.56,0.10,2.92,8.83,125.17,0.27,0.08,0.49,5.10,0.97
Image1839,0,16.27,1277.03,35.74,0.11,2.63,7.27,118.34,0.30,0.09,0.51,4.82,0.98
Image1840,1,3.60,463.80,21.54,0.00,6.57,45.85,61.65,0.04,0.00,0.27,5.39,0.97
Image1841,0,13.56,1098.68,33.15,0.10,2.88,8.63,128.55,0.29,0.08,0.50,5.06,0.97
Image1842,0,17.25,1342.56,36.64,0.11,2.55,6.79,108.72,0.29,0.09,0.52,4.44,0.98
Image1843,1,18.41,2163.87,46.52,0.00,3.13,10.37,115.05,0.05,0.00,0.36,5.43,0.98
Image1844,1,4.31,585.94,24.21,0.03,6.08,38.51,163.87,0.14,0.02,0.35,7.25,0.98
Image1845,1,0.82,84.30,9.18,0.02,11.44,132.65,22.35,0.11,0.01,0.44,2.98,0.94
Image1846,0,11.23,443.87,21.07,0.11,2.34,6.31,51.61,0.30,0.09,0.62,2.44,0.97
Image1847,1,8.02,625.73,25.01,0.00,3.90,17.88,68.00,0.06,0.00,0.37,4.50,0.96
Image1848,1,7.46,593.21,24.36,0.01,3.86,16.12,66.27,0.07,0.00,0.39,3.70,0.96
Image1849,0,8.85,361.43,19.01,0.14,2.58,7.33,62.24,0.33,0.11,0.62,2.64,0.96
Image1850,0,11.63,463.15,21.52,0.11,2.31,6.10,55.61,0.30,0.09,0.61,2.52,0.96
Image1851,0,5.16,300.02,17.32,0.19,3.87,15.83,38.37,0.39,0.15,0.65,2.38,0.98
Image1852,0,12.97,1247.47,35.32,0.17,3.21,10.71,149.29,0.37,0.14,0.61,4.14,0.98
Image1853,0,15.52,1252.93,35.40,0.13,2.71,7.65,224.73,0.32,0.10,0.54,5.70,0.96
Image1854,0,8.22,730.75,27.03,0.13,3.77,14.60,282.14,0.33,0.11,0.54,6.50,0.95
Image1855,1,2.14,362.28,19.03,0.00,9.43,92.33,265.35,0.03,0.00,0.19,10.21,0.92
Image1856,0,20.08,1556.71,39.46,0.09,2.39,6.00,215.98,0.27,0.07,0.52,5.53,0.96
Image1857,0,13.53,1123.33,33.52,0.14,2.93,8.93,251.13,0.34,0.11,0.55,6.17,0.95
Image1858,0,5.98,554.12,23.54,0.16,4.43,20.26,318.02,0.37,0.13,0.56,6.83,0.94
Image1859,1,5.09,658.33,25.66,0.00,5.47,30.82,153.42,0.04,0.00,0.33,5.97,0.95
Image1860,1,21.83,1606.68,40.08,0.02,2.56,7.20,159.94,0.12,0.01,0.42,5.04,0.96
Image1861,1,7.26,1001.57,31.65,0.01,4.73,22.97,176.94,0.09,0.01,0.43,4.89,0.96
Image1862,1,4.23,612.88,24.76,0.01,6.31,41.35,225.16,0.10,0.01,0.40,5.30,0.96
Image1863,1,1.87,287.65,16.96,0.02,9.66,97.80,547.20,0.13,0.02,0.37,8.70,0.93
Image1864,1,14.09,1024.00,32.00,0.07,2.80,8.47,195.70,0.24,0.06,0.51,4.51,0.95
Image1865,1,7.64,941.18,30.68,0.01,4.36,19.34,358.95,0.09,0.01,0.38,5.98,0.91
Image1866,1,6.48,870.30,29.50,0.01,4.94,25.08,161.97,0.07,0.01,0.38,4.90,0.96
Image1867,1,25.13,1744.98,41.77,0.07,2.33,6.21,207.22,0.23,0.05,0.50,5.08,0.96
Image1868,1,7.34,726.16,26.95,0.03,4.05,17.08,201.76,0.13,0.02,0.53,3.52,0.93
Image1869,0,3.77,115.38,10.74,0.11,3.39,12.05,18.61,0.30,0.09,0.61,2.03,0.97
Image1870,0,5.76,171.82,13.11,0.06,2.78,8.07,33.02,0.22,0.05,0.57,2.51,0.95
Image1871,0,6.76,194.31,13.94,0.07,2.57,6.97,31.40,0.23,0.05,0.57,2.51,0.95
Image1872,0,5.21,156.62,12.51,0.06,2.91,8.83,33.24,0.22,0.05,0.55,2.64,0.95
Image1873,0,5.53,215.95,14.70,0.19,3.05,9.68,46.21,0.40,0.16,0.68,2.12,0.96
Image1874,1,8.83,660.17,25.69,0.03,4.07,18.80,72.35,0.16,0.03,0.47,3.86,0.98
Image1875,0,6.99,213.08,14.60,0.08,2.47,6.32,31.31,0.25,0.06,0.64,1.80,0.96
Image1876,0,4.61,153.88,12.40,0.09,3.03,9.34,39.31,0.26,0.07,0.64,2.00,0.94
Image1877,1,3.51,287.65,16.96,0.00,5.57,33.67,74.43,0.06,0.00,0.37,4.30,0.96
Image1878,0,8.45,248.85,15.77,0.07,2.29,5.49,29.16,0.23,0.05,0.63,1.85,0.96
Image1879,0,6.37,199.16,14.11,0.09,2.59,6.91,34.16,0.25,0.06,0.64,1.90,0.95
Image1880,0,3.90,133.53,11.56,0.10,3.27,10.88,42.66,0.27,0.07,0.64,2.08,0.94
Image1881,0,10.46,692.91,26.32,0.16,2.93,8.95,125.74,0.36,0.13,0.59,3.70,0.96
Image1882,0,6.66,518.07,22.76,0.10,3.94,16.23,117.73,0.27,0.08,0.48,4.96,0.97
Image1883,0,12.44,777.31,27.88,0.12,2.66,7.42,134.66,0.30,0.09,0.57,3.84,0.96
Image1884,1,17.53,1064.01,32.62,0.06,2.47,6.76,112.45,0.22,0.05,0.50,4.10,0.97
Image1885,1,16.55,1165.57,34.14,0.01,2.71,7.85,99.96,0.07,0.00,0.42,4.46,0.96
Image1886,0,10.83,771.44,27.77,0.08,3.02,9.42,88.14,0.24,0.06,0.51,4.21,0.97
Image1887,0,4.72,349.41,18.69,0.12,4.55,21.78,115.17,0.31,0.09,0.50,4.79,0.96
Image1888,0,11.36,543.52,23.31,0.11,2.63,7.51,50.84,0.29,0.09,0.55,3.32,0.98
Image1889,0,15.13,665.72,25.80,0.12,2.11,4.87,48.15,0.30,0.09,0.60,2.85,0.98
Image1890,1,5.52,417.47,20.43,0.01,4.08,17.17,29.69,0.06,0.00,0.44,2.93,0.93
Image1891,0,9.90,519.36,22.79,0.12,2.97,9.77,61.54,0.30,0.09,0.57,3.47,0.97
Image1892,0,12.68,586.80,24.22,0.10,2.40,6.15,51.43,0.28,0.08,0.57,3.21,0.98
Image1893,0,18.67,742.85,27.26,0.08,1.90,4.11,48.01,0.24,0.06,0.57,2.96,0.98
Image1894,0,14.28,776.92,27.87,0.09,2.47,6.56,81.28,0.27,0.07,0.52,4.41,0.97
Image1895,0,15.25,813.47,28.52,0.07,2.37,5.97,81.99,0.23,0.05,0.49,4.43,0.97
Image1896,0,17.19,849.58,29.15,0.06,2.23,5.40,114.43,0.21,0.04,0.47,5.15,0.96
Image1897,0,17.82,831.59,28.84,0.03,2.15,4.92,94.03,0.15,0.02,0.45,4.68,0.95
Image1898,0,16.81,794.15,28.18,0.03,2.19,5.05,86.31,0.15,0.02,0.47,4.33,0.96
Image1899,0,6.90,369.21,19.21,0.09,3.27,11.05,85.35,0.26,0.07,0.51,4.53,0.96
Image1900,0,15.18,811.15,28.48,0.08,2.37,5.97,80.31,0.24,0.06,0.50,4.35,0.97
Image1901,0,15.83,834.20,28.88,0.09,2.33,5.90,93.48,0.26,0.07,0.50,4.62,0.97
Image1902,0,16.14,767.59,27.71,0.03,2.23,5.23,92.07,0.15,0.02,0.49,4.33,0.96
Image1903,0,17.60,855.62,29.25,0.04,2.23,5.38,100.99,0.17,0.03,0.45,5.03,0.96
Image1904,0,17.58,813.00,28.51,0.03,2.15,4.89,89.84,0.15,0.02,0.45,4.63,0.95
Image1905,0,5.43,292.54,17.10,0.09,3.68,14.06,85.51,0.26,0.07,0.50,4.71,0.96
Image1906,0,10.14,551.06,23.47,0.18,2.77,8.17,75.57,0.39,0.15,0.60,3.36,0.97
Image1907,0,14.13,668.40,25.85,0.10,2.28,5.60,88.56,0.28,0.08,0.54,3.84,0.96
Image1908,0,15.51,662.80,25.74,0.11,2.11,4.97,72.25,0.29,0.08,0.53,3.75,0.97
Image1909,0,18.50,699.00,26.44,0.06,1.89,3.96,66.13,0.21,0.05,0.50,3.64,0.96
Image1910,1,6.02,993.59,31.52,0.00,5.84,35.46,117.36,0.03,0.00,0.26,6.70,0.98
Image1911,1,8.66,1281.52,35.80,0.00,4.79,24.01,177.07,0.03,0.00,0.29,7.40,0.97
Image1912,0,11.59,578.37,24.05,0.12,2.56,7.04,72.21,0.31,0.10,0.55,3.61,0.97
Image1913,0,14.28,667.25,25.83,0.10,2.26,5.56,82.49,0.28,0.08,0.54,3.73,0.96
Image1914,0,16.04,661.87,25.73,0.10,2.06,4.74,73.10,0.28,0.08,0.53,3.80,0.96
Image1915,0,18.48,718.95,26.81,0.07,1.90,4.06,71.46,0.24,0.06,0.51,3.68,0.96
Image1916,0,18.58,705.60,26.56,0.05,1.90,4.00,72.06,0.19,0.04,0.50,3.72,0.96
Image1917,1,7.97,1254.01,35.41,0.00,5.12,27.47,111.54,0.03,0.00,0.29,6.30,0.98
Image1918,1,8.08,1084.03,32.92,0.00,4.75,23.84,205.91,0.03,0.00,0.27,8.09,0.96
Image1919,1,6.39,371.65,19.28,0.01,3.90,16.89,33.96,0.06,0.00,0.44,2.98,0.97
Image1920,0,11.88,558.39,23.63,0.12,2.41,6.17,75.43,0.30,0.09,0.56,3.61,0.96
Image1921,1,6.18,576.50,24.01,0.01,4.92,27.44,104.79,0.06,0.00,0.35,5.66,0.97
Image1922,1,7.18,927.43,30.45,0.00,4.95,25.87,142.38,0.05,0.00,0.34,6.78,0.97
Image1923,1,19.29,1384.38,37.21,0.01,3.08,11.12,91.58,0.09,0.01,0.41,4.68,0.98
Image1924,1,8.01,1064.08,32.62,0.01,4.63,22.40,207.91,0.09,0.01,0.34,6.92,0.97
Image1925,1,6.41,884.22,29.74,0.03,5.13,27.29,289.42,0.14,0.02,0.39,6.67,0.96
Image1926,1,4.26,552.17,23.50,0.03,6.21,40.72,362.33,0.14,0.02,0.38,8.41,0.95
Image1927,1,1.52,196.69,14.02,0.02,10.23,111.25,664.27,0.12,0.02,0.35,11.92,0.89
Image1928,0,12.99,611.16,24.72,0.12,2.32,5.71,73.21,0.30,0.09,0.56,3.52,0.97
Image1929,1,5.28,666.71,25.82,0.00,5.64,33.85,121.16,0.04,0.00,0.29,6.86,0.97
Image1930,1,8.93,1148.94,33.90,0.01,4.38,20.14,197.42,0.10,0.01,0.35,7.21,0.97
Image1931,1,7.58,1000.28,31.63,0.00,4.84,24.61,139.70,0.06,0.00,0.34,6.54,0.98
Image1932,1,7.16,968.16,31.12,0.01,4.86,24.70,216.45,0.10,0.01,0.36,6.57,0.96
Image1933,1,3.32,437.63,20.92,0.03,7.02,51.77,350.64,0.14,0.02,0.39,8.54,0.95
Image1934,1,0.75,101.84,10.09,0.01,14.82,232.39,516.81,0.08,0.01,0.32,12.60,0.90
Image1935,0,7.58,444.14,21.07,0.19,3.27,11.16,67.29,0.39,0.15,0.64,2.98,0.97
Image1936,0,10.45,532.72,23.08,0.13,2.74,7.99,52.52,0.32,0.10,0.57,3.09,0.98
Image1937,0,8.53,493.07,22.21,0.18,3.10,10.09,69.73,0.38,0.14,0.62,3.11,0.97
Image1938,0,11.30,560.38,23.67,0.12,2.58,7.06,53.02,0.31,0.10,0.57,3.10,0.98
Image1939,0,15.99,691.70,26.30,0.09,2.17,5.22,86.88,0.26,0.07,0.52,4.07,0.96
Image1940,1,6.92,641.43,25.33,0.00,4.23,18.75,206.30,0.04,0.00,0.33,6.77,0.91
Image1941,0,14.49,1003.34,31.68,0.07,2.62,7.09,265.64,0.22,0.05,0.54,5.58,0.92
Image1942,0,7.19,515.75,22.71,0.07,3.69,14.25,270.63,0.23,0.05,0.53,6.40,0.91
Image1943,1,18.84,1360.94,36.89,0.01,2.51,6.58,220.93,0.09,0.01,0.44,5.63,0.93
Image1944,1,1.62,206.90,14.38,0.00,9.42,91.69,279.11,0.04,0.00,0.22,9.49,0.90
Image1945,0,4.73,316.22,17.78,0.11,4.47,21.43,240.10,0.29,0.08,0.56,5.82,0.91
Image1946,1,7.73,688.01,26.23,0.01,3.99,16.65,149.29,0.06,0.00,0.31,6.37,0.95
Image1947,1,13.78,1053.00,32.45,0.00,2.88,8.64,112.00,0.06,0.00,0.35,5.05,0.94
Image1948,1,7.50,610.50,24.71,0.11,3.92,16.65,183.06,0.29,0.08,0.51,5.25,0.96
Image1949,1,6.80,631.65,25.13,0.00,4.47,21.46,211.92,0.03,0.00,0.30,7.29,0.94
Image1950,1,1.48,157.35,12.54,0.00,8.71,76.86,31.42,0.06,0.00,0.36,3.55,0.90
Image1951,0,12.42,694.33,26.35,0.08,2.52,6.56,101.03,0.26,0.07,0.56,3.64,0.96
Image1952,1,11.20,880.87,29.68,0.01,3.29,11.68,151.11,0.10,0.01,0.39,5.78,0.95
Image1953,0,11.30,650.66,25.51,0.08,2.66,7.29,132.86,0.25,0.06,0.54,4.14,0.94
Image1954,0,6.50,415.03,20.37,0.08,3.51,12.66,166.02,0.24,0.06,0.54,4.70,0.93
Image1955,1,13.38,1063.06,32.60,0.01,3.15,10.83,174.16,0.09,0.01,0.35,6.29,0.95
Image1956,1,15.33,1217.71,34.90,0.01,3.00,9.78,134.33,0.08,0.01,0.36,5.69,0.96
Image1957,0,10.78,741.31,27.23,0.08,3.00,9.31,175.52,0.24,0.06,0.49,5.47,0.95
Image1958,0,4.85,361.01,19.00,0.13,4.43,20.39,219.29,0.33,0.11,0.55,5.33,0.94
Image1959,0,5.21,310.68,17.63,0.17,3.77,14.67,73.70,0.37,0.14,0.60,3.10,0.97
Image1960,0,9.53,518.25,22.77,0.13,2.81,8.24,112.69,0.32,0.11,0.57,3.89,0.95
Image1961,1,15.57,1199.88,34.64,0.01,2.89,8.98,130.58,0.08,0.01,0.37,5.58,0.96
Image1962,1,12.93,1088.60,32.99,0.00,3.17,10.77,92.16,0.04,0.00,0.31,5.27,0.96
Image1963,0,5.72,338.49,18.40,0.23,3.60,13.42,76.54,0.44,0.20,0.65,2.95,0.97
Image1964,0,11.27,597.91,24.45,0.10,2.59,7.04,119.64,0.28,0.08,0.54,4.09,0.95
Image1965,1,14.59,1007.31,31.74,0.01,2.88,9.14,128.89,0.09,0.01,0.37,5.49,0.95
Image1966,1,18.98,1285.22,35.85,0.01,2.61,7.50,119.10,0.10,0.01,0.38,5.23,0.96
Image1967,0,8.33,313.18,17.70,0.15,2.54,6.92,41.22,0.35,0.12,0.65,2.21,0.97
Image1968,0,10.30,362.56,19.04,0.11,2.28,5.62,36.40,0.29,0.09,0.64,2.17,0.97
Image1969,1,8.37,714.83,26.74,0.00,3.86,15.85,58.49,0.05,0.00,0.36,4.38,0.98
Image1970,1,9.35,690.44,26.28,0.01,3.55,13.68,105.99,0.09,0.01,0.42,4.96,0.96
Image1971,1,5.47,463.09,21.52,0.01,4.54,21.96,132.51,0.07,0.00,0.33,5.84,0.94
Image1972,0,9.25,341.90,18.49,0.13,2.41,6.17,38.73,0.32,0.10,0.64,2.19,0.97
Image1973,0,10.63,382.54,19.56,0.14,2.34,6.36,43.00,0.34,0.11,0.65,2.35,0.97
Image1974,1,8.84,728.42,26.99,0.00,3.71,14.70,70.13,0.06,0.00,0.37,4.59,0.97
